ID,ID_SRC,RA,DEC,EXT_LIKE,DET_LIKE,z,z_type,T_300kpc,T_300kpc_L,T_300kpc_U,L_300kpc,L_300kpc_L,L_300kpc_U,Lbol_300kpc,Lbol_300kpc_L,Lbol_300kpc_U,F_300kpc,F_300kpc_L,F_300kpc_U,T_500kpc,T_500kpc_L,T_500kpc_U,L_500kpc,L_500kpc_L,L_500kpc_U,Lbol_500kpc,Lbol_500kpc_L,Lbol_500kpc_U,F_500kpc,F_500kpc_L,F_500kpc_U,SNR_MAX,R_SNR_MAX_ARCMIN
eFEDS J082626.6-003429,28993,126.61079874875323,-0.5747865732441608,8.486203,5.0297227,0.16111,0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5444E42,-1.0,-1.0,1.6266E43,-1.0,-1.0,5.4524E-14,-1.0,-1.0,-1.0,-1.0,-1.0,3.9249E42,-1.0,-1.0,1.782E43,-1.0,-1.0,6.0404E-14,1.32,0.8011
eFEDS J082751.8-002853,11248,126.96547052351899,-0.4816375760468516,12.791595,27.86591,0.25716,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0191E43,-1.0,-1.0,1.7219E43,-1.0,-1.0,4.7107E-14,-1.0,-1.0,-1.0,-1.0,-1.0,1.0611E43,-1.0,-1.0,1.7963E43,-1.0,-1.0,4.9033E-14,3.07,0.7393
eFEDS J082808.8-001003,4800,127.03664479111386,-0.16771519006522811,28.492811,62.51248,0.076155,0,0.8852939485164333,0.7863289638658808,0.9917568925391209,2.5925E42,2.2179E42,2.9792E42,4.0302E42,3.4494E42,4.6252E42,1.8018E-13,1.5431E-13,2.0656E-13,0.8838091899100241,0.7910142425012437,0.977674711959912,2.8431E42,2.3391E42,3.4247E42,4.4023E42,3.6402E42,5.339E42,1.9761E-13,1.6244E-13,2.3826E-13,8.78,2.6312
eFEDS J082820.6-000721,4169,127.08555578945551,-0.1227516578044756,42.376125,81.37835,0.8449,0,-1.0,-1.0,-1.0,1.5171E44,1.2171E44,1.84E44,4.0737E44,3.2621E44,5.3554E44,5.121E-14,4.1829E-14,6.0165E-14,-1.0,-1.0,-1.0,2.3089E44,1.8906E44,2.7622E44,6.2076E44,5.0898E44,8.0136E44,7.7966E-14,6.5551E-14,8.9614E-14,7.3,1.4667
eFEDS J082840.6-000500,7991,127.16920243296957,-0.08355245061503055,18.438711,37.515427,0.319705,0,-1.0,-1.0,-1.0,1.4347E43,1.1749E43,1.6849E43,3.2846E43,2.5996E43,4.0099E43,4.4947E-14,3.7026E-14,5.259E-14,-1.0,-1.0,-1.0,1.7541E43,1.4194E43,2.0654E43,3.9936E43,3.1755E43,4.9317E43,5.5102E-14,4.4436E-14,6.4665E-14,5.61,1.3388
eFEDS J082900.0+010756,14973,127.24997352534432,1.1323138072329706,19.179321,14.365816,0.354,0,-1.0,-1.0,-1.0,8.6121E42,5.8211E42,1.2569E43,3.0366E43,1.8233E43,4.9607E43,2.3027E-14,1.5495E-14,3.3482E-14,-1.0,-1.0,-1.0,1.8516E43,1.3129E43,2.4519E43,6.4811E43,4.0815E43,9.9632E43,4.9244E-14,3.5102E-14,6.5597E-14,4.29,3.157
eFEDS J082952.7+002140,7528,127.46968386048412,0.3610841815083812,7.7296557,38.62664,0.42,0,-1.0,-1.0,-1.0,1.3602E43,1.0263E43,1.7372E43,3.6339E43,2.6127E43,5.1951E43,2.3514E-14,1.8106E-14,2.9985E-14,-1.0,-1.0,-1.0,1.4303E43,1.0672E43,1.8425E43,3.8167E43,2.7192E43,5.4808E43,2.4619E-14,1.8609E-14,3.1942E-14,4.61,0.679
eFEDS J082955.5+004132,3810,127.48099892565416,0.6921992234211755,24.177258,80.255554,0.939855,0,-1.0,-1.0,-1.0,1.394E44,1.1314E44,1.7077E44,4.9716E44,3.8165E44,7.4643E44,4.0382E-14,3.3478E-14,4.7755E-14,-1.0,-1.0,-1.0,1.9164E44,1.5773E44,2.3182E44,6.9308E44,5.228E44,1.0038E45,5.5642E-14,4.69E-14,6.4351E-14,6.96,1.2089
eFEDS J083040.7+023220,9837,127.66973936145847,2.538832958295314,11.481833,23.703844,0.11132,0,-1.0,-1.0,-1.0,7.4169E41,4.9309E41,1.0362E42,1.1645E42,7.7675E41,1.6211E42,2.2299E-14,1.4821E-14,3.1137E-14,-1.0,-1.0,-1.0,7.4506E41,4.9309E41,1.0444E42,1.1663E42,7.7676E41,1.6376E42,2.2419E-14,1.4827E-14,3.137E-14,3.29,0.7179
eFEDS J083110.6+015616,5601,127.79401199149834,1.9378392793445993,11.771409,34.137924,0.41951,0,-1.0,-1.0,-1.0,2.443E43,1.9154E43,2.9811E43,6.1514E43,4.7447E43,8.0413E43,4.2107E-14,3.3269E-14,5.0568E-14,-1.0,-1.0,-1.0,3.6752E43,3.0476E43,4.3632E43,9.1985E43,7.453E43,1.2157E44,6.3046E-14,5.2629E-14,7.4446E-14,6.85,1.7166
